species,corolla_tube_length,total_large_anther_length,PC1_corolla,PC2_corolla,PC1_anther,PC2_anther
Cavendishia_oligantha,2.047692843,1.526056303,0.00600964,0.04813176,,
Cavendishia_osaensis,2.995732274,2.862200881,-0.216383535,0.007604074,-0.32717062,0.002933004
Cavendishia_palustris,2.197224577,1.824549292,-0.008583082,0.098202586,,
Cavendishia_panamensis,,,-0.081736937,0.054494377,,
Cavendishia_pedicellata,,,-0.149973915,0.014369865,-0.330900724,0.004563665
Cavendishia_pilosa,2.442347035,1.953027617,-0.066775616,0.056867869,,
Cavendishia_pubescens,2.833213344,2.420368129,,,,
Cavendishia_quereme,2.302585093,1.791759469,-0.013176111,0.091434174,,
Cavendishia_ruiz-teranii,3.113515309,2.833213344,-0.073847724,0.06876332,,
Cavendishia_sirensis,3.33220451,3.238678452,-0.202293593,0.000722081,,
Cavendishia_stenophylla,,,-0.072006998,0.06706218,-0.326085625,-0.032809589
Cavendishia_subamplexicaulis,,,-0.132400936,0.025596016,-0.320357276,0.010111268
Cavendishia_subfasciculata,,,-0.099892574,0.039529648,,
Cavendishia_tarapotana,3.33220451,2.870735783,-0.181890564,0.021871766,,
Cavendishia_tenella,2.525728644,2.066862759,0.011300863,0.072322833,-0.25699946,-0.04051142
Cavendishia_tryphera,3.091042453,2.890371758,,,,
Cavendishia_uniflora,3.401197382,2.995732274,-0.152537686,0.03256813,,
Cavendishia_urophylla,,,-0.176483476,0.025414152,,
Cavendishia_vinacea,2.351375257,2.079441542,0.186277945,0.117039515,-0.284030155,-0.033408402
Cavendishia_viridiflora,2.890371758,2.750470917,-0.117046698,0.031084353,-0.302664574,0.008565666
Cavendishia_zamorensis,2.917770732,2.374905755,-0.069616283,0.049092715,,
Ceratiola_ericoides,-6.907755279,0.223143551,,,0.035085128,0.082722508
Ceratostema_alatum,,,-0.058454033,0.094589328,,
Ceratostema_auriculatum,3.434954478,3.644404964,-0.211176426,0.001419705,-0.34061207,0.033200407
Ceratostema_bracteolatum,2.785011242,3.526948587,-0.149191583,0.031492753,-0.335135225,0.025585858
Ceratostema_fasciculatum,3.624074231,,-0.241469045,0.006985428,,
Ceratostema_ferreyrae,3.784189634,3.555348061,-0.143874787,0.056232246,-0.332820512,0.022502507
Ceratostema_glans,,,-0.05484206,0.076904914,,
Ceratostema_lanceolatum,,,-0.177866838,0.037429,,
Ceratostema_lanigerum,,,-0.041533582,0.093394768,,
Ceratostema_megabracteatum,3.860729711,3.624340933,-0.069835579,0.070970229,-0.319616458,0.038740465
Ceratostema_megalobum,,,-0.201207775,0.016793077,,
Ceratostema_nodosum,3.413455279,3.425889994,-0.15263495,0.037114622,,
Ceratostema_oyacachiensis,3.725693427,3.590439381,-0.167679896,0.029778821,-0.334356945,0.038203293
Ceratostema_pedunculatum,3.389799337,3.214466116,-0.197449481,0.017282898,,
Ceratostema_pendens,3.839452313,3.713572067,-0.207165674,0.003707407,-0.339687183,0.013405464
Ceratostema_peruvianum,3.610917913,,,,,
Ceratostema_pubescens,3.931825633,3.761200116,-0.208712485,0.014773731,-0.328684416,0.023524307
Ceratostema_rauhii,2.968874819,2.863913699,-0.14914571,0.035386682,,
Ceratostema_silvicola,2.836150204,2.92905814,0.083985262,0.122049966,-0.332290161,0.007436553
Chamaedaphne_calyculata,1.791759469,,0.029524792,0.075021261,-0.209856963,0.068706759
Chimaphila_japonica,-6.907755279,0.470003629,,,0.098781403,-0.020754376
Chimaphila_maculata,-6.907755279,1.446918983,,,0.07307624,0.068400607
Chimaphila_menzezii,-6.907755279,1.266947603,,,0.021945962,0.024620038
Chimaphila_umbellata,-6.907755279,1.238374231,,,0.049705594,0.084196593
Cladothamnus_pyroliflorus,,,,,0.15806806,0.036839992
Coilostigma_glabrum,0.741937345,0,,,,
Coilostigma_zeyherianum,0.693147181,-0.287682072,,,,
Coleanthera_myrtoides,,,-0.054519125,0.027935821,-0.212195563,0.005314948
Comarostaphylis_arbutoides,1.909542505,0.262364264,0.252744951,0.134664398,0.165651394,-0.030377295
Comarostaphylis_discolor,1.87946505,0.336472237,0.168512951,0.085128232,0.275016602,0.061246199
Comarostaphylis_diversifolia,1.871802177,0.262364264,,,,
Comarostaphylis_glaucescens,,,0.044661387,0.097947027,,
Comarostaphylis_glauscens,2.014903021,0.405465108,,,,
Comarostaphylis_longifolia,2.014903021,0.336472237,0.187062165,0.114263633,,
Comarostaphylis_macvaughii,1.474763009,-0.083381609,0.106546874,0.072750687,0.332362277,-0.00603271
Comarostaphylis_polifolia,1.87946505,0.223143551,0.101738756,0.099541366,,
Comarostaphylis_sharpii,1.816452082,0.470003629,0.078718904,0.085321917,,
Comarostaphylis_spinulosa,1.887069649,0.262364264,0.125123269,0.11696313,,
Conostephium_marchantiorum,,,-0.223229768,-0.040858926,-0.217471458,-0.009802792
Conostephium_pendulum,,,-0.221587095,-0.028472705,-0.19441723,-0.080206555
Corema_conradii,-6.907755279,,,,,
Cosmelia_rubra,,,-0.258758352,-0.047567849,,
Costera_endertii,0.916290732,0.405465108,,,,
Craibiodendron_henryi,1.011600912,-0.223143551,0.169273484,-0.094906965,0.053463562,-0.023041909
Craibiodendron_scleranthum,1.609437912,-0.223143551,0.052152969,0.068582654,0.048150982,0.101984394
Craibiodendron_stellatum,1.32175584,-0.223143551,0.173715039,-0.203502496,0.034927703,0.033343964
Craibiodendron_vietnamense,1.011600912,-0.223143551,0.139612348,-0.180382758,0.134652469,0.172071984
Craibiodendron_yunnanense,1.609437912,-0.162518929,0.157166547,0.065801821,0.08512349,0.089668549
Croninia_kingiana,2.014903021,1.504077397,-0.134631435,0.029261621,-0.225973078,0.045619675
Cyathodes_divaricata,2.536074936,0.891998039,-0.10394467,0.00968855,0.041902055,-0.004386208
Cyathodes_glauca,1.994700313,0.765467842,-0.095668748,0.049490705,-0.100811212,0.151366605
Cyathodes_platystoma,1.816452082,0.810930216,-0.082366963,0.024401046,0.059484897,0.069101583
Cyathodes_straminea,1.931521412,0.559615788,,,,
Cyathodes_sulcata,1.238374231,0.139761942,,,,
Daboecia_azorica,2.014903021,,,,,
Daboecia_cantabrica,2.442347035,,-0.039064176,0.054539127,-0.302586705,0.004284112
Daboecia_polifolia,,,,,-0.243820341,-0.015479899
Demosthenesia_cordifolia,3.817712326,3.650658241,-0.160662885,0.010652612,,
Demosthenesia_mandonii,3.218875825,3.068052935,-0.169106047,0.042901204,,
Demosthenesia_pearcei,1.945910149,,,,,
Demosthenesia_spectabilis,3.749504076,3.465735903,,,,
Demosthenesia_vilcabambensis,4.007333185,3.784189634,-0.166325587,0.030779232,,
Didonica_crassiflora,2.674148649,2.302585093,0.057300043,-0.005506465,-0.179907348,-0.015010292
Didonica_panamensis,,,0.061337775,-0.019691985,,
Didonica_pendula,3.091042453,2.302585093,0.056331991,-0.047200866,-0.199689177,-0.022124567
Dielsiodoxa_tamariscina,-0.356674944,-1.46967597,,,,
Dimorphanthera_amoena,3.555348061,2.397895273,-0.079592331,0.064667662,,
Dimorphanthera_dekockii,2.351375257,1.981001469,0.233290002,-0.001144199,-0.148219059,0.03698451
Dimorphanthera_glauca,3.441058915,,-0.158092864,0.027266629,-0.140340732,-0.020748098
Dimorphanthera_kempteriana,2.862200881,2.079441542,-0.018624303,-0.031973689,,
Dimorphanthera_longistyla,,,,,-0.207494665,0.038549602
Dimorphanthera_megacalyx,2.995732274,2.140066163,,,,
Dimorphanthera_tedentii,,,-0.172482055,0.009341503,-0.21094722,0.01467223
Dimorphanthera_velutina,3.401197382,2.197224577,-0.022464324,0.033847346,-0.203987722,0.011748158
Dimorphanthera_viridiflora,,,,,-0.233567354,0.0242418
Dimorphanthera_womersleyi,2.667228207,1.943048917,,,-0.193300942,0.004960398
Diplarche_multiflora,1.386294361,,,,,
Diplycosia_acuminata,1.704748092,,,,,
Diplycosia_apoensis,1.386294361,,,,,
Diplycosia_balgooyi,2.351375257,1.410986974,0.004281371,0.103627845,-0.199137316,-0.002915904
Diplycosia_barbigera,1.609437912,0.955511445,,,,
Diplycosia_bartolomei,,,,,-0.204801267,0.057492375
Diplycosia_celebensis,1.871802177,1.32175584,0.12717207,-0.036684841,-0.129007565,0.030830175
Diplycosia_chrysothrix,2.079441542,0.810930216,,,-0.21312232,0.028106818
Diplycosia_ciliolata,1.704748092,,0.005084102,-0.021408033,-0.228116617,0.033991758
Diplycosia_cinnamomifolia,1.609437912,,,,,
Diplycosia_clementium,1.871802177,1.386294361,0.122281201,-0.115514663,,
Diplycosia_commutata,1.32175584,,,,,
Diplycosia_gallowayana,1.609437912,1.609437912,0.108449147,-0.245257564,-0.17124783,0.118740883
Diplycosia_glaucicaulis,1.609437912,1.30833282,0.254025878,0.127451309,-0.206344948,0.025691988
Diplycosia_hendriana,2.197224577,1.410986974,0.080180973,0.102751331,-0.171815669,0.007457014
Diplycosia_indica,1.386294361,-0.510825624,-0.018017361,0.055439777,,
Diplycosia_kinabaluensis,2.302585093,,0.112522973,-0.084180183,,
Diplycosia_luzonica,2.125847914,,,,,
Diplycosia_memecyloides,1.791759469,1.098612289,,,,
Diplycosia_minutiflora,1.252762968,0.693147181,0.148061517,0.076718299,-0.056482788,0.001151702
Diplycosia_penduliflora,1.386294361,0.693147181,,,,
Diplycosia_pinifolia,1.704748092,1.098612289,0.035132406,0.03563817,-0.268964305,0.06633973
Diplycosia_pseudorufescens,1.504077397,0.916290732,,,,
Diplycosia_punctulata,1.609437912,,,,,
Diplycosia_rufa,2.014903021,1.386294361,,,,
Diplycosia_salicifolia,1.945910149,,,,-0.169098736,0.004510652
Diplycosia_sanguinolenta,2.63905733,1.791759469,,,,
Diplycosia_supyanii,0.916290732,0.78845736,0.149983291,-0.069682014,-0.17279854,-0.038920699
Diplycosia_urceolata,1.791759469,,,,,
Disterigma_acuminatum,1.423108334,0.916290732,0.210567884,0.026738295,,
Disterigma_agathosmoides,1.945910149,1.011600912,-0.06853218,0.062808887,,
Disterigma_alaternoides,2.034705648,1.08180517,0.035857335,0.072437883,,
Disterigma_appendiculatum,2.021547563,1.30833282,0.009040773,0.056158937,-0.278485291,0.004483623
Disterigma_baguense,2.277267285,1.373715579,-0.124655871,0.033774257,-0.24764539,-0.010623297
Disterigma_balslevii,2.302585093,1.481604541,-0.079260401,0.04064119,-0.287927682,0.027054257
Disterigma_bracteatum,2.429217744,1.974081026,-0.127035093,0.020519247,-0.248507552,0.000356237
Disterigma_campanulatum,1.526056303,1.029619417,0.129758342,-0.06853912,,
Disterigma_campii,1.704748092,,,,,
Disterigma_chocoanum,1.832581464,0.832909123,0.009413287,0.080270611,,
Disterigma_codonanthum,1.945910149,1.16315081,,,,
Disterigma_cryptocalyx,2.1690537,1.446918983,-0.08209116,0.022850348,,
